rot_x,rot_y,rot_z,LSTQ,S_assoc,things_iou,stuff_iou,S_cls
0,60,45,0.0179,0.0177,0.0,0.0278,0.018
0,30,120,0.0179,0.0128,0.0,0.0411,0.0251
10,10,150,0.0178,0.0101,0.0029,0.0492,0.0314
10,45,30,0.0178,0.0122,0.0,0.04,0.0259
30,0,120,0.0176,0.0158,0.0,0.0323,0.0197
10,45,120,0.0174,0.0126,0.0,0.0374,0.0242
30,0,30,0.0173,0.0182,0.0001,0.0252,0.0163
30,150,60,0.0172,0.0176,0.0,0.026,0.0168
0,60,90,0.0171,0.0084,0.0,0.0541,0.035
30,0,10,0.0168,0.0174,0.0,0.0251,0.0163
10,30,90,0.0167,0.0095,0.0002,0.0477,0.0293
0,45,300,0.0166,0.0092,0.0,0.0467,0.0302
10,90,150,0.0162,0.019,0.0,0.0214,0.0139
0,45,150,0.0161,0.0116,0.0,0.0346,0.0224
0,90,120,0.016,0.0163,0.0,0.023,0.0158
30,45,60,0.016,0.0147,0.0,0.0269,0.0174
30,90,150,0.0157,0.0155,0.0,0.0231,0.0159
30,30,300,0.0157,0.0086,0.0,0.0441,0.0285
10,45,0,0.0156,0.0127,0.0,0.0312,0.0191
30,150,10,0.0152,0.0181,0.0,0.0198,0.0128
10,45,90,0.0152,0.0062,0.0,0.0575,0.0372
30,30,30,0.0151,0.0092,0.0,0.0406,0.0248
0,150,120,0.0151,0.0147,0.0,0.0241,0.0156
0,30,60,0.0151,0.0081,0.0001,0.0463,0.0284
0,10,120,0.0149,0.0051,0.0009,0.0666,0.0435
10,60,60,0.0149,0.0117,0.0,0.0292,0.0189
30,150,0,0.0149,0.0161,0.0001,0.0214,0.0139
0,90,90,0.0148,0.012,0.0,0.0283,0.0183
10,0,150,0.0147,0.0055,0.0,0.0646,0.0395
30,30,60,0.0146,0.0081,0.0,0.0407,0.0263
10,0,120,0.0143,0.0056,0.0,0.0597,0.0365
30,90,90,0.0143,0.0137,0.0016,0.0219,0.0149
30,60,60,0.0142,0.0131,0.0,0.0237,0.0154
0,90,150,0.0142,0.0142,0.0001,0.0217,0.0141
0,45,0,0.0142,0.0104,0.0,0.0302,0.0195
0,60,30,0.0142,0.0103,0.0,0.0303,0.0196
10,120,120,0.0142,0.0089,0.0,0.035,0.0226
0,150,60,0.0142,0.0106,0.0,0.0294,0.0191
30,10,150,0.0142,0.0145,0.0,0.0215,0.0139
30,0,300,0.0142,0.0092,0.0019,0.0343,0.0218
30,45,45,0.0141,0.0096,0.0,0.0321,0.0207
30,45,90,0.0141,0.0081,0.0,0.0403,0.0246
10,150,60,0.0141,0.0105,0.0,0.0292,0.0189
0,30,150,0.014,0.008,0.0002,0.0401,0.0246
30,150,45,0.014,0.012,0.0,0.0254,0.0165
30,150,90,0.014,0.0112,0.0,0.0271,0.0175
30,150,30,0.014,0.0147,0.0002,0.0203,0.0133
30,120,300,0.0139,0.0115,0.0,0.026,0.0168
0,90,60,0.0139,0.0142,0.0023,0.0191,0.0135
0,10,90,0.0139,0.0041,0.0001,0.0739,0.0478
0,300,300,0.0139,0.0086,0.0,0.0349,0.0226
30,90,45,0.0139,0.0098,0.0,0.0305,0.0197
10,300,60,0.0137,0.0134,0.0,0.0217,0.014
30,90,0,0.0137,0.0099,0.0,0.0294,0.019
10,150,150,0.0136,0.0115,0.0,0.025,0.0162
0,60,150,0.0136,0.0096,0.0,0.0315,0.0192
30,120,150,0.0134,0.0109,0.0,0.0256,0.0166
30,150,120,0.0134,0.0099,0.0017,0.0269,0.0182
30,120,60,0.0134,0.0132,0.0,0.0209,0.0135
30,30,90,0.0133,0.0066,0.0001,0.0441,0.027
0,300,90,0.0133,0.0101,0.0,0.0272,0.0176
10,90,60,0.0132,0.0138,0.0018,0.0183,0.0127
30,120,120,0.013,0.011,0.0,0.0239,0.0155
30,120,10,0.013,0.0097,0.0,0.0271,0.0175
30,120,90,0.013,0.0086,0.0,0.0304,0.0197
30,90,60,0.013,0.0125,0.0,0.0209,0.0135
30,90,120,0.0129,0.0105,0.0,0.0245,0.0159
10,90,10,0.0129,0.0095,0.0,0.0273,0.0177
30,120,30,0.0129,0.0103,0.0,0.025,0.0162
10,90,45,0.0128,0.0126,0.0,0.0203,0.0131
0,90,45,0.0127,0.0146,0.0,0.0169,0.0109
0,300,60,0.0127,0.0124,0.0,0.0213,0.013
0,150,45,0.0127,0.0103,0.0,0.0258,0.0158
10,60,45,0.0126,0.0087,0.0,0.0282,0.0183
30,30,0,0.0126,0.0061,0.0008,0.0397,0.0261
10,300,90,0.0125,0.0085,0.0,0.0282,0.0183
0,90,10,0.0124,0.0088,0.0,0.0286,0.0175
0,150,90,0.0123,0.0078,0.0,0.0299,0.0193
30,120,0,0.0123,0.008,0.0,0.0294,0.019
30,90,10,0.0123,0.0075,0.0,0.0313,0.0202
30,90,30,0.0122,0.0089,0.0,0.0259,0.0167
10,300,45,0.0122,0.0125,0.0,0.0194,0.0119
0,150,30,0.0121,0.0106,0.0,0.0224,0.0137
10,150,120,0.0121,0.0114,0.0,0.0199,0.0129
0,120,45,0.012,0.0089,0.0,0.0251,0.0162
0,120,120,0.012,0.0098,0.0,0.0227,0.0147
10,150,90,0.012,0.0077,0.0,0.0307,0.0188
0,45,120,0.012,0.0073,0.0,0.0303,0.0196
30,120,45,0.0119,0.0105,0.0,0.0207,0.0134
10,90,0,0.0118,0.0072,0.0,0.0298,0.0193
10,90,90,0.0118,0.0124,0.0,0.0164,0.0113
0,90,0,0.0118,0.0087,0.0,0.0249,0.0161
0,90,30,0.0117,0.0102,0.0,0.0206,0.0134
0,120,30,0.0117,0.0093,0.0,0.0226,0.0147
0,120,60,0.0117,0.0084,0.0,0.0251,0.0162
10,300,300,0.0115,0.0069,0.0,0.0311,0.019
10,30,150,0.0114,0.0064,0.0,0.0354,0.0205
10,90,30,0.0114,0.0077,0.0,0.0263,0.017
0,120,0,0.0114,0.0085,0.0,0.0234,0.0151
0,120,10,0.0113,0.0088,0.0,0.0223,0.0145
10,120,90,0.0113,0.0085,0.0,0.0246,0.015
10,120,30,0.0113,0.0083,0.0,0.0238,0.0154
0,300,120,0.0112,0.008,0.0,0.0241,0.0156
10,150,45,0.011,0.0082,0.0,0.0241,0.0147
0,300,0,0.0109,0.0088,0.0,0.0209,0.0135
30,10,120,0.0108,0.0059,0.0018,0.0292,0.0197
10,120,45,0.0108,0.0077,0.0,0.0234,0.0151
0,150,300,0.0107,0.0056,0.0,0.0332,0.0203
10,120,60,0.0107,0.0074,0.0,0.024,0.0155
10,150,10,0.0107,0.0074,0.0,0.0238,0.0154
10,90,300,0.0107,0.0134,0.0,0.0132,0.0085
10,300,150,0.0106,0.0073,0.0,0.0236,0.0153
0,120,150,0.0106,0.0083,0.0,0.0207,0.0134
10,150,300,0.0105,0.006,0.0,0.0279,0.0181
10,120,300,0.0104,0.0082,0.0,0.0202,0.0131
0,150,150,0.0103,0.0085,0.0,0.0194,0.0126
10,120,0,0.0103,0.0071,0.0,0.023,0.0149
0,150,10,0.0102,0.0089,0.0,0.02,0.0116
10,150,0,0.0101,0.0065,0.0,0.0242,0.0157
0,120,300,0.0101,0.0076,0.0,0.0207,0.0134
10,120,10,0.0101,0.0075,0.0,0.021,0.0136
0,120,90,0.01,0.0068,0.0,0.0229,0.0148
0,300,45,0.0098,0.0088,0.0,0.0178,0.0109
10,120,150,0.0098,0.0076,0.0,0.0194,0.0125
10,300,10,0.0096,0.0074,0.0,0.0193,0.0125
10,300,0,0.0094,0.0067,0.0,0.0204,0.0132
0,300,10,0.0092,0.0062,0.0,0.0209,0.0135
10,150,30,0.0091,0.0064,0.0,0.0213,0.013
0,150,0,0.0091,0.0069,0.0,0.0188,0.0122
10,300,120,0.009,0.0065,0.0,0.019,0.0123
10,45,150,0.0089,0.0033,0.0,0.0388,0.0237
30,30,120,0.0089,0.0037,0.0,0.0351,0.0214
0,90,300,0.0087,0.0057,0.0,0.0194,0.0134
30,0,150,0.0082,0.0046,0.0015,0.0229,0.0147
0,300,150,0.0081,0.0065,0.0,0.0156,0.0101
0,300,30,0.0081,0.0054,0.0,0.0186,0.0121
10,300,30,0.0078,0.0059,0.0,0.016,0.0104
30,90,300,0.0065,0.0065,0.0,0.0094,0.0065
30,45,150,0.0065,0.0019,0.0,0.0343,0.0222
30,30,150,0.0046,0.0013,0.0,0.026,0.0159
